"gene_id","p_simes","padj_simes"
"ENSG00000005893.16",4.10497746320607e-05,0.014985736184658
"ENSG00000008083.14",3.93702141177647e-05,0.014985736184658
"ENSG00000009307.17",3.47794864671054e-05,0.014985736184658
"ENSG00000059728.11",4.09324341238116e-05,0.014985736184658
"ENSG00000075624.17",2.841991683951e-06,0.014985736184658
"ENSG00000081237.20",3.03246490430422e-05,0.014985736184658
"ENSG00000087460.29",2.56361472031138e-05,0.014985736184658
"ENSG00000103342.13",2.52804639366201e-05,0.014985736184658
"ENSG00000104765.16",4.1231390202911e-05,0.014985736184658
"ENSG00000105701.16",2.07964653493747e-05,0.014985736184658
"ENSG00000112096.19",1.33140100445951e-05,0.014985736184658
"ENSG00000112851.15",2.34455984256446e-05,0.014985736184658
"ENSG00000113441.16",2.47609259732499e-05,0.014985736184658
"ENSG00000120063.10",3.49577829582259e-05,0.014985736184658
"ENSG00000122862.5",8.65971784914439e-06,0.014985736184658
"ENSG00000132824.14",8.23488085130875e-06,0.014985736184658
"ENSG00000133112.17",2.6702093494557e-05,0.014985736184658
"ENSG00000136156.15",7.59097029247015e-06,0.014985736184658
"ENSG00000136819.15",3.55713729682308e-05,0.014985736184658
"ENSG00000141298.19",2.85863181539263e-05,0.014985736184658
"ENSG00000144711.16",2.8870474707526e-05,0.014985736184658
"ENSG00000147454.14",1.36124606420567e-05,0.014985736184658
"ENSG00000149212.12",4.09751446713643e-05,0.014985736184658
"ENSG00000153814.13",1.48483610809518e-05,0.014985736184658
"ENSG00000156675.16",3.68972992248778e-05,0.014985736184658
"ENSG00000157106.18",1.72753931075303e-05,0.014985736184658
"ENSG00000159023.22",2.52308905918308e-05,0.014985736184658
"ENSG00000166710.22",1.78955211464047e-05,0.014985736184658
"ENSG00000169967.17",1.81272081721053e-05,0.014985736184658
"ENSG00000173281.5",2.97546931393194e-05,0.014985736184658
"ENSG00000173868.12",1.26441968241923e-05,0.014985736184658
"ENSG00000177663.14",1.89146843574122e-05,0.014985736184658
"ENSG00000251562.9",2.50364989534974e-06,0.014985736184658
"ENSG00000100368.15",4.80788244161956e-05,0.0154221669748356
"ENSG00000134830.6",4.55596040294978e-05,0.0154221669748356
"ENSG00000147162.14",4.88612927333462e-05,0.0154221669748356
"ENSG00000167671.12",4.7946759052261e-05,0.0154221669748356
"ENSG00000186529.16",4.52466026924809e-05,0.0154221669748356
"ENSG00000047410.14",5.42791296260886e-05,0.0155370096828766
"ENSG00000065413.20",5.58669752568748e-05,0.0155370096828766
"ENSG00000130741.11",5.64299164843184e-05,0.0155370096828766
"ENSG00000151553.15",5.82586283511207e-05,0.0155370096828766
"ENSG00000158615.10",5.6694234227827e-05,0.0155370096828766
"ENSG00000170006.12",5.82929327771759e-05,0.0155370096828766
"ENSG00000266412.6",5.75119845247905e-05,0.0155370096828766
"ENSG00000083168.11",8.38165999750845e-05,0.0156016149173718
"ENSG00000101109.12",8.64869153935631e-05,0.0156016149173718
"ENSG00000103381.12",7.36784188132631e-05,0.0156016149173718
"ENSG00000112624.13",6.26378753032057e-05,0.0156016149173718
"ENSG00000117616.18",6.78085502965129e-05,0.0156016149173718
"ENSG00000119844.16",8.34332165621939e-05,0.0156016149173718
"ENSG00000123146.20",7.24033524175464e-05,0.0156016149173718
"ENSG00000124942.14",8.21061563806318e-05,0.0156016149173718
"ENSG00000129003.19",6.07987280598623e-05,0.0156016149173718
"ENSG00000135535.17",7.90903861532525e-05,0.0156016149173718
"ENSG00000135932.12",8.71525929184519e-05,0.0156016149173718
"ENSG00000136381.13",8.12400352635826e-05,0.0156016149173718
"ENSG00000137193.14",8.1648532594036e-05,0.0156016149173718
"ENSG00000163931.17",6.99547770843852e-05,0.0156016149173718
"ENSG00000165006.14",7.42074206377962e-05,0.0156016149173718
"ENSG00000167978.17",6.28990924496397e-05,0.0156016149173718
"ENSG00000176542.10",8.52932034100171e-05,0.0156016149173718
"ENSG00000179820.16",7.15300398261716e-05,0.0156016149173718
"ENSG00000189067.14",8.41017997690552e-05,0.0156016149173718
"ENSG00000196924.19",7.76292779717181e-05,0.0156016149173718
"ENSG00000203710.12",7.61554237445553e-05,0.0156016149173718
"ENSG00000206344.8",8.70897405558905e-05,0.0156016149173718
"ENSG00000110934.13",8.89974240618526e-05,0.0156975750617332
"ENSG00000115271.11",9.18104704235679e-05,0.0158834555520407
"ENSG00000132823.11",9.3217887972765e-05,0.0158834555520407
"ENSG00000140575.13",9.40241240782797e-05,0.0158834555520407
"ENSG00000198663.17",9.74162774523888e-05,0.0162279282189438
"ENSG00000008130.15",0.000108317762102585,0.0165253765220323
"ENSG00000023445.16",0.00010217254843573,0.0165253765220323
"ENSG00000125354.24",0.000106702968582195,0.0165253765220323
"ENSG00000139668.9",0.000103666100575156,0.0165253765220323
"ENSG00000160712.13",0.000102299139002807,0.0165253765220323
"ENSG00000162378.13",0.000105197140914534,0.0165253765220323
"ENSG00000173120.15",0.000108846485346053,0.0165253765220323
"ENSG00000118922.18",0.000113015733075463,0.0166080078100863
"ENSG00000122566.22",0.000113544825781814,0.0166080078100863
"ENSG00000132475.10",0.000112582014561932,0.0166080078100863
"ENSG00000140564.13",0.000115829468419798,0.0167380559545429
"ENSG00000030582.18",0.000126255134885048,0.0170016626845283
"ENSG00000058063.16",0.000211387766847964,0.0170016626845283
"ENSG00000060237.19",0.000228181434836925,0.0170016626845283
"ENSG00000062716.13",0.000214467894240149,0.0170016626845283
"ENSG00000065526.12",0.000216450367708529,0.0170016626845283
"ENSG00000066084.13",0.000192471328959847,0.0170016626845283
"ENSG00000066422.6",0.000233379112908036,0.0170016626845283
"ENSG00000071127.17",0.000154649405082625,0.0170016626845283
"ENSG00000077420.16",0.000146103053865384,0.0170016626845283
"ENSG00000078747.16",0.000197943256942121,0.0170016626845283
"ENSG00000090376.11",0.000218908701219773,0.0170016626845283
"ENSG00000095139.15",0.000177204363081014,0.0170016626845283
"ENSG00000100316.16",0.000160502668258435,0.0170016626845283
"ENSG00000100614.18",0.000181423603763702,0.0170016626845283
"ENSG00000100906.11",0.000217967861906771,0.0170016626845283
"ENSG00000105939.14",0.00016982563273975,0.0170016626845283
"ENSG00000106003.14",0.000150802593624201,0.0170016626845283
"ENSG00000107738.20",0.000132511465984563,0.0170016626845283
"ENSG00000108100.18",0.000159722823814483,0.0170016626845283
"ENSG00000108219.15",0.00023093857842405,0.0170016626845283
"ENSG00000110315.7",0.000181509818750607,0.0170016626845283
"ENSG00000111144.10",0.000202776905271849,0.0170016626845283
"ENSG00000111348.9",0.000225407495528685,0.0170016626845283
"ENSG00000111640.15",0.000213524495772777,0.0170016626845283
"ENSG00000111913.20",0.00020013623127075,0.0170016626845283
"ENSG00000113558.19",0.00024097102648561,0.0170016626845283
"ENSG00000114573.10",0.000151925227733471,0.0170016626845283
"ENSG00000115935.18",0.000121820614159546,0.0170016626845283
"ENSG00000115993.13",0.000186864796598642,0.0170016626845283
"ENSG00000119801.13",0.00023416843821169,0.0170016626845283
"ENSG00000121858.11",0.000197517714409697,0.0170016626845283
"ENSG00000123338.13",0.000162711114570346,0.0170016626845283
"ENSG00000124098.10",0.000219527711972177,0.0170016626845283
"ENSG00000124201.15",0.000213458871061125,0.0170016626845283
"ENSG00000125430.9",0.000229177991340044,0.0170016626845283
"ENSG00000125753.14",0.000148745088616009,0.0170016626845283
"ENSG00000129472.15",0.00013698733405389,0.0170016626845283
"ENSG00000130821.17",0.000241375908948832,0.0170016626845283
"ENSG00000131263.13",0.000147508486129653,0.0170016626845283
