"gene_id","p_simes","padj_simes"
"ENSG00000075624.17",1.0502365398257e-06,0.0125198697912622
"ENSG00000005483.22",6.5829238636138e-05,0.0148995396182636
"ENSG00000005893.16",3.9298396666932e-05,0.0148995396182636
"ENSG00000006125.18",8.4934911541045e-05,0.0148995396182636
"ENSG00000009307.17",3.97663527505194e-05,0.0148995396182636
"ENSG00000010404.18",7.78094703875655e-05,0.0148995396182636
"ENSG00000030582.18",6.98886369515127e-05,0.0148995396182636
"ENSG00000034713.8",7.60252238289674e-05,0.0148995396182636
"ENSG00000035862.12",9.57835891001172e-05,0.0148995396182636
"ENSG00000047410.14",0.000134953654669975,0.0148995396182636
"ENSG00000058063.16",5.58777523062917e-05,0.0148995396182636
"ENSG00000058668.15",0.00011714406237935,0.0148995396182636
"ENSG00000060237.19",0.000170980299811091,0.0148995396182636
"ENSG00000062716.13",0.000183060502133642,0.0148995396182636
"ENSG00000065413.20",9.82929851679786e-05,0.0148995396182636
"ENSG00000065526.12",0.000156199651002229,0.0148995396182636
"ENSG00000067992.17",0.000190594709222423,0.0148995396182636
"ENSG00000076770.15",0.00022469694086508,0.0148995396182636
"ENSG00000081237.20",0.000148286396072592,0.0148995396182636
"ENSG00000083312.19",0.000169113823618864,0.0148995396182636
"ENSG00000090376.11",0.000222219332948591,0.0148995396182636
"ENSG00000091527.17",0.000139653849160611,0.0148995396182636
"ENSG00000095139.15",0.000116965558312924,0.0148995396182636
"ENSG00000100316.16",2.39987493288291e-05,0.0148995396182636
"ENSG00000100330.16",9.45598282982789e-05,0.0148995396182636
"ENSG00000100368.15",0.000134595490588657,0.0148995396182636
"ENSG00000100614.18",0.000153372329459963,0.0148995396182636
"ENSG00000100906.11",4.37493242172965e-05,0.0148995396182636
"ENSG00000101109.12",6.67114293235315e-05,0.0148995396182636
"ENSG00000104973.19",0.000220721595312266,0.0148995396182636
"ENSG00000105939.14",9.19343989847811e-05,0.0148995396182636
"ENSG00000106003.14",0.000165825706398193,0.0148995396182636
"ENSG00000109787.13",5.62930765628823e-05,0.0148995396182636
"ENSG00000110367.14",0.000164565962693955,0.0148995396182636
"ENSG00000110395.7",9.24189984041913e-05,0.0148995396182636
"ENSG00000110934.13",0.000113910489020129,0.0148995396182636
"ENSG00000111348.9",3.66268406784217e-05,0.0148995396182636
"ENSG00000111371.16",0.000150447868693596,0.0148995396182636
"ENSG00000111913.20",4.51375910374555e-05,0.0148995396182636
"ENSG00000112096.19",1.36077200648741e-05,0.0148995396182636
"ENSG00000112335.15",6.62138586918177e-05,0.0148995396182636
"ENSG00000112624.13",6.67007073532497e-05,0.0148995396182636
"ENSG00000112851.15",3.15711120388415e-05,0.0148995396182636
"ENSG00000113441.16",4.4312910100072e-05,0.0148995396182636
"ENSG00000113580.15",8.31560277823143e-05,0.0148995396182636
"ENSG00000114573.10",3.91611851745064e-05,0.0148995396182636
"ENSG00000115232.14",0.000187983099634979,0.0148995396182636
"ENSG00000115993.13",0.000215596268870788,0.0148995396182636
"ENSG00000117616.18",0.000141041536696852,0.0148995396182636
"ENSG00000118564.15",0.000196984237470094,0.0148995396182636
"ENSG00000118922.18",0.000177184028363918,0.0148995396182636
"ENSG00000119314.16",0.000156554727122072,0.0148995396182636
"ENSG00000120063.10",3.65745362493452e-05,0.0148995396182636
"ENSG00000121060.19",0.000129609858425533,0.0148995396182636
"ENSG00000121858.11",9.74172158521385e-05,0.0148995396182636
"ENSG00000122862.5",2.08279414910769e-05,0.0148995396182636
"ENSG00000124098.10",0.000164358632039228,0.0148995396182636
"ENSG00000124151.19",0.000223681351248704,0.0148995396182636
"ENSG00000124942.14",5.57331017987326e-05,0.0148995396182636
"ENSG00000125354.24",4.75783110799337e-05,0.0148995396182636
"ENSG00000125686.12",0.000178652442972086,0.0148995396182636
"ENSG00000125753.14",0.000164605151931556,0.0148995396182636
"ENSG00000125827.9",0.00022083967759752,0.0148995396182636
"ENSG00000127314.18",0.000178487954867273,0.0148995396182636
"ENSG00000129003.19",8.03421043380434e-05,0.0148995396182636
"ENSG00000129472.15",0.000220159262580344,0.0148995396182636
"ENSG00000130741.11",6.98118501133013e-05,0.0148995396182636
"ENSG00000130821.17",3.4955188195434e-05,0.0148995396182636
"ENSG00000131263.13",0.000212026916389036,0.0148995396182636
"ENSG00000132274.16",0.000165304330058664,0.0148995396182636
"ENSG00000132475.10",0.000126727190654171,0.0148995396182636
"ENSG00000132819.17",0.000130809989523362,0.0148995396182636
"ENSG00000132823.11",0.000112075766036589,0.0148995396182636
"ENSG00000132824.14",4.78824117395788e-06,0.0148995396182636
"ENSG00000133112.17",7.73884516886029e-05,0.0148995396182636
"ENSG00000133606.11",0.000146364183561525,0.0148995396182636
"ENSG00000134109.11",0.000134220804284738,0.0148995396182636
"ENSG00000134830.6",5.15528377405821e-05,0.0148995396182636
"ENSG00000135535.17",6.42148053192855e-05,0.0148995396182636
"ENSG00000135677.11",0.000157058900852408,0.0148995396182636
"ENSG00000135679.27",0.000211467394818864,0.0148995396182636
"ENSG00000135821.19",6.33683439924044e-05,0.0148995396182636
"ENSG00000135932.12",7.36994966609045e-05,0.0148995396182636
"ENSG00000136156.15",8.00690623053979e-06,0.0148995396182636
"ENSG00000136381.13",0.0001194321181061,0.0148995396182636
"ENSG00000136451.9",0.000170418442058051,0.0148995396182636
"ENSG00000136536.15",0.000203924335373306,0.0148995396182636
"ENSG00000136731.13",0.000143473169163634,0.0148995396182636
"ENSG00000136819.15",4.10520672385606e-05,0.0148995396182636
"ENSG00000136869.16",5.68298656978194e-05,0.0148995396182636
"ENSG00000137193.14",0.000115257856700257,0.0148995396182636
"ENSG00000137642.13",4.06229195222043e-05,0.0148995396182636
"ENSG00000138449.11",0.00021322456217445,0.0148995396182636
"ENSG00000139718.12",8.79670758499721e-05,0.0148995396182636
"ENSG00000140749.9",9.72626260989596e-05,0.0148995396182636
"ENSG00000141298.19",6.03485005668393e-05,0.0148995396182636
"ENSG00000142347.19",0.000174952564786327,0.0148995396182636
"ENSG00000143384.14",9.46575277318927e-05,0.0148995396182636
"ENSG00000143437.21",0.000180086803975345,0.0148995396182636
"ENSG00000143549.21",0.000135173146147698,0.0148995396182636
"ENSG00000143669.15",0.000186407090032168,0.0148995396182636
"ENSG00000144711.16",4.41321052140793e-05,0.0148995396182636
"ENSG00000145335.17",0.000178859702190017,0.0148995396182636
"ENSG00000145495.16",0.000111273180138445,0.0148995396182636
"ENSG00000145675.15",0.000184335436517791,0.0148995396182636
"ENSG00000146112.12",0.000200294241697063,0.0148995396182636
"ENSG00000147010.18",6.63986932786348e-05,0.0148995396182636
"ENSG00000147065.17",0.000209172683072944,0.0148995396182636
"ENSG00000147162.14",0.000212794594501137,0.0148995396182636
"ENSG00000147454.14",2.52706857668637e-05,0.0148995396182636
"ENSG00000148175.13",0.000190598879793873,0.0148995396182636
